human_ensembl,species,species_gene_id,source
ENSG00000167972,Mus musculus,ENSMUSG00000024130,babelgene
ENSG00000198691,Mus musculus,ENSMUSG00000028125,babelgene
ENSG00000154265,Mus musculus,ENSMUSG00000018800,babelgene
ENSG00000154262,Mus musculus,ENSMUSG00000044749,babelgene
ENSG00000064687,Mus musculus,ENSMUSG00000035722,babelgene
ENSG00000141338,Mus musculus,ENSMUSG00000020620,babelgene
ENSG00000154258,Mus musculus,ENSMUSG00000041797,babelgene
ENSG00000085563,Mus musculus,ENSMUSG00000040584,babelgene
ENSG00000135776,Mus musculus,ENSMUSG00000031974,babelgene
ENSG00000073734,Mus musculus,ENSMUSG00000027048,babelgene
ENSG00000005471,Mus musculus,ENSMUSG00000042476,babelgene
ENSG00000004846,Mus musculus,ENSMUSG00000072791,babelgene
ENSG00000115657,Mus musculus,ENSMUSG00000026198,babelgene
ENSG00000131269,Mus musculus,ENSMUSG00000031333,babelgene
ENSG00000197150,Mus musculus,ENSMUSG00000028973,babelgene
ENSG00000150967,Mus musculus,ENSMUSG00000029408,babelgene
ENSG00000103222,Mus musculus,ENSMUSG00000023088,babelgene
ENSG00000124574,Mus musculus,ENSMUSG00000032842,babelgene
ENSG00000121270,Mus musculus,ENSMUSG00000036872,babelgene
ENSG00000121270,Mus musculus,ENSMUSG00000022822,babelgene
ENSG00000140798,Mus musculus,ENSMUSG00000036872,babelgene
ENSG00000023839,Mus musculus,ENSMUSG00000025194,babelgene
ENSG00000108846,Mus musculus,ENSMUSG00000020865,babelgene
ENSG00000125257,Mus musculus,ENSMUSG00000032849,babelgene
ENSG00000114770,Mus musculus,ENSMUSG00000022822,babelgene
ENSG00000091262,Mus musculus,ENSMUSG00000030834,babelgene
ENSG00000006071,Mus musculus,ENSMUSG00000040136,babelgene
ENSG00000069431,Mus musculus,ENSMUSG00000030249,babelgene
ENSG00000101986,Mus musculus,ENSMUSG00000031378,babelgene
ENSG00000173208,Mus musculus,ENSMUSG00000055782,babelgene
ENSG00000117528,Mus musculus,ENSMUSG00000028127,babelgene
ENSG00000119688,Mus musculus,ENSMUSG00000021240,babelgene
ENSG00000164163,Mus musculus,ENSMUSG00000058355,babelgene
ENSG00000204574,Mus musculus,ENSMUSG00000038762,babelgene
ENSG00000033050,Mus musculus,ENSMUSG00000028953,babelgene
ENSG00000285292,Mus musculus,ENSMUSG00000028953,babelgene
ENSG00000161204,Mus musculus,ENSMUSG00000003234,babelgene
ENSG00000160179,Mus musculus,ENSMUSG00000024030,babelgene
ENSG00000118777,Mus musculus,ENSMUSG00000029802,babelgene
ENSG00000172350,Mus musculus,ENSMUSG00000032131,babelgene
ENSG00000138075,Mus musculus,ENSMUSG00000040505,babelgene
ENSG00000143921,Mus musculus,ENSMUSG00000024254,babelgene
ENSG00000143994,Mus musculus,ENSMUSG00000006638,babelgene
ENSG00000144827,Mus musculus,ENSMUSG00000033157,babelgene
ENSG00000106077,Mus musculus,ENSMUSG00000040532,babelgene
ENSG00000100997,Mus musculus,ENSMUSG00000032046,babelgene
ENSG00000131969,Mus musculus,ENSMUSG00000090121,babelgene
ENSG00000139826,Mus musculus,ENSMUSG00000040396,babelgene
ENSG00000248487,Mus musculus,ENSMUSG00000042210,babelgene
ENSG00000114786,Mus musculus,ENSMUSG00000023262,babelgene
ENSG00000114779,Mus musculus,ENSMUSG00000042073,babelgene
ENSG00000168792,Mus musculus,ENSMUSG00000000686,babelgene
ENSG00000204427,Mus musculus,ENSMUSG00000007036,babelgene
ENSG00000183260,Mus musculus,ENSMUSG00000055882,babelgene
ENSG00000129968,Mus musculus,ENSMUSG00000003346,babelgene
ENSG00000107362,Mus musculus,ENSMUSG00000047368,babelgene
ENSG00000136379,Mus musculus,ENSMUSG00000038459,babelgene
ENSG00000164074,Mus musculus,ENSMUSG00000037818,babelgene
ENSG00000140526,Mus musculus,ENSMUSG00000039202,babelgene
ENSG00000158201,Mus musculus,ENSMUSG00000002475,babelgene
ENSG00000100439,Mus musculus,ENSMUSG00000040997,babelgene
ENSG00000011198,Mus musculus,ENSMUSG00000032540,babelgene
ENSG00000163686,Mus musculus,ENSMUSG00000025277,babelgene
ENSG00000127220,Mus musculus,ENSMUSG00000007950,babelgene
ENSG00000136754,Mus musculus,ENSMUSG00000058835,babelgene
ENSG00000138443,Mus musculus,ENSMUSG00000026782,babelgene
ENSG00000108798,Mus musculus,ENSMUSG00000018381,babelgene
ENSG00000154175,Mus musculus,ENSMUSG00000035258,babelgene
ENSG00000119328,Mus musculus,ENSMUSG00000038827,babelgene
ENSG00000097007,Mus musculus,ENSMUSG00000026842,babelgene
ENSG00000143322,Mus musculus,ENSMUSG00000026596,babelgene
ENSG00000099204,Mus musculus,ENSMUSG00000025085,babelgene
ENSG00000163995,Mus musculus,ENSMUSG00000029095,babelgene
ENSG00000173210,Mus musculus,ENSMUSG00000032735,babelgene
ENSG00000175164,Mus musculus,ENSMUSG00000015787,babelgene
ENSG00000159842,Mus musculus,ENSMUSG00000017631,babelgene
ENSG00000174429,Mus musculus,ENSMUSG00000042895,babelgene
ENSG00000146386,Mus musculus,ENSMUSG00000078453,babelgene
ENSG00000163322,Mus musculus,ENSMUSG00000035234,babelgene
ENSG00000165660,Mus musculus,ENSMUSG00000030965,babelgene
ENSG00000146109,Mus musculus,ENSMUSG00000036376,babelgene
ENSG00000114626,Mus musculus,ENSMUSG00000030083,babelgene
ENSG00000166016,Mus musculus,ENSMUSG00000032724,babelgene
ENSG00000151136,Mus musculus,ENSMUSG00000020042,babelgene
ENSG00000060971,Mus musculus,ENSMUSG00000036138,babelgene
ENSG00000167315,Mus musculus,ENSMUSG00000036880,babelgene
ENSG00000278540,Mus musculus,ENSMUSG00000020532,babelgene
ENSG00000076555,Mus musculus,ENSMUSG00000042010,babelgene
ENSG00000111271,Mus musculus,ENSMUSG00000029456,babelgene
ENSG00000240303,Mus musculus,ENSMUSG00000090150,babelgene
ENSG00000151498,Mus musculus,ENSMUSG00000031969,babelgene
ENSG00000177646,Mus musculus,ENSMUSG00000027710,babelgene
ENSG00000115361,Mus musculus,ENSMUSG00000026003,babelgene
ENSG00000117054,Mus musculus,ENSMUSG00000062908,babelgene
ENSG00000122971,Mus musculus,ENSMUSG00000029545,babelgene
ENSG00000196177,Mus musculus,ENSMUSG00000030861,babelgene
ENSG00000072778,Mus musculus,ENSMUSG00000018574,babelgene
ENSG00000157766,Mus musculus,ENSMUSG00000030607,babelgene
ENSG00000072818,Mus musculus,ENSMUSG00000001588,babelgene
ENSG00000114331,Mus musculus,ENSMUSG00000049076,babelgene
ENSG00000131584,Mus musculus,ENSMUSG00000029033,babelgene
ENSG00000075239,Mus musculus,ENSMUSG00000032047,babelgene
ENSG00000120437,Mus musculus,ENSMUSG00000062480,babelgene
ENSG00000182827,Mus musculus,ENSMUSG00000026499,babelgene
ENSG00000181513,Mus musculus,ENSMUSG00000056938,babelgene
ENSG00000107897,Mus musculus,ENSMUSG00000026781,babelgene
ENSG00000176244,Mus musculus,ENSMUSG00000026644,babelgene
ENSG00000110455,Mus musculus,ENSMUSG00000040272,babelgene
ENSG00000102977,Mus musculus,ENSMUSG00000038000,babelgene
ENSG00000159640,Mus musculus,ENSMUSG00000020681,babelgene
ENSG00000130234,Mus musculus,ENSMUSG00000015405,babelgene
ENSG00000167769,Mus musculus,ENSMUSG00000045019,babelgene
ENSG00000177076,Mus musculus,ENSMUSG00000038007,babelgene
ENSG00000078124,Mus musculus,ENSMUSG00000030760,babelgene
ENSG00000087085,Mus musculus,ENSMUSG00000023328,babelgene
ENSG00000100813,Mus musculus,ENSMUSG00000022185,babelgene
ENSG00000213088,Mus musculus,ENSMUSG00000037872,babelgene
ENSG00000144648,Mus musculus,ENSMUSG00000044534,babelgene
ENSG00000144476,Mus musculus,ENSMUSG00000044337,babelgene
ENSG00000129048,Mus musculus,ENSMUSG00000079355,babelgene
ENSG00000131473,Mus musculus,ENSMUSG00000020917,babelgene
ENSG00000153086,Mus musculus,ENSMUSG00000026348,babelgene
ENSG00000122729,Mus musculus,ENSMUSG00000028405,babelgene
ENSG00000100412,Mus musculus,ENSMUSG00000022477,babelgene
ENSG00000102794,Mus musculus,ENSMUSG00000022126,babelgene
ENSG00000184227,Mus musculus,ENSMUSG00000072949,babelgene
ENSG00000162390,Mus musculus,ENSMUSG00000034853,babelgene
ENSG00000172497,Mus musculus,ENSMUSG00000021620,babelgene
ENSG00000112304,Mus musculus,ENSMUSG00000006717,babelgene
ENSG00000119673,Mus musculus,ENSMUSG00000021226,babelgene
ENSG00000119673,Mus musculus,ENSMUSG00000021228,babelgene
ENSG00000177465,Mus musculus,ENSMUSG00000052392,babelgene
ENSG00000205669,Mus musculus,ENSMUSG00000043487,babelgene
ENSG00000097021,Mus musculus,ENSMUSG00000028937,babelgene
ENSG00000101473,Mus musculus,ENSMUSG00000017307,babelgene
ENSG00000123130,Mus musculus,ENSMUSG00000047565,babelgene
ENSG00000123130,Mus musculus,ENSMUSG00000025287,babelgene
ENSG00000161533,Mus musculus,ENSMUSG00000020777,babelgene
ENSG00000168306,Mus musculus,ENSMUSG00000021751,babelgene
ENSG00000087008,Mus musculus,ENSMUSG00000029098,babelgene
ENSG00000153093,Mus musculus,ENSMUSG00000027380,babelgene
ENSG00000143727,Mus musculus,ENSMUSG00000044573,babelgene
ENSG00000134575,Mus musculus,ENSMUSG00000002103,babelgene
ENSG00000014257,Mus musculus,ENSMUSG00000032561,babelgene
ENSG00000142513,Mus musculus,ENSMUSG00000012777,babelgene
ENSG00000102575,Mus musculus,ENSMUSG00000001348,babelgene
ENSG00000162836,Mus musculus,ENSMUSG00000028093,babelgene
ENSG00000183760,Mus musculus,ENSMUSG00000037469,babelgene
ENSG00000100312,Mus musculus,ENSMUSG00000022622,babelgene
ENSG00000111644,Mus musculus,ENSMUSG00000072770,babelgene
ENSG00000134940,Mus musculus,ENSMUSG00000032110,babelgene
ENSG00000103740,Mus musculus,ENSMUSG00000032281,babelgene
ENSG00000167107,Mus musculus,ENSMUSG00000076435,babelgene
ENSG00000176715,Mus musculus,ENSMUSG00000015016,babelgene
ENSG00000151726,Mus musculus,ENSMUSG00000018796,babelgene
ENSG00000123983,Mus musculus,ENSMUSG00000032883,babelgene
ENSG00000068366,Mus musculus,ENSMUSG00000031278,babelgene
ENSG00000197142,Mus musculus,ENSMUSG00000024981,babelgene
ENSG00000164398,Mus musculus,ENSMUSG00000020333,babelgene
ENSG00000166743,Mus musculus,ENSMUSG00000033533,babelgene
ENSG00000183747,Mus musculus,ENSMUSG00000030945,babelgene
ENSG00000066813,Mus musculus,ENSMUSG00000030945,babelgene
ENSG00000005187,Mus musculus,ENSMUSG00000030935,babelgene
ENSG00000183549,Mus musculus,ENSMUSG00000030972,babelgene
ENSG00000154930,Mus musculus,ENSMUSG00000027452,babelgene
ENSG00000131069,Mus musculus,ENSMUSG00000027605,babelgene
ENSG00000111058,Mus musculus,ENSMUSG00000035948,babelgene
ENSG00000143632,Mus musculus,ENSMUSG00000031972,babelgene
ENSG00000107796,Mus musculus,ENSMUSG00000035783,babelgene
ENSG00000075624,Mus musculus,ENSMUSG00000029580,babelgene
ENSG00000169067,Mus musculus,ENSMUSG00000055194,babelgene
ENSG00000159251,Mus musculus,ENSMUSG00000068614,babelgene
ENSG00000184009,Mus musculus,ENSMUSG00000062825,babelgene
ENSG00000163017,Mus musculus,ENSMUSG00000059430,babelgene
ENSG00000288649,Mus musculus,ENSMUSG00000078129,babelgene
ENSG00000136518,Mus musculus,ENSMUSG00000027671,babelgene
ENSG00000077080,Mus musculus,ENSMUSG00000029712,babelgene
ENSG00000148156,Mus musculus,ENSMUSG00000070980,babelgene
ENSG00000072110,Mus musculus,ENSMUSG00000015143,babelgene
ENSG00000077522,Mus musculus,ENSMUSG00000052374,babelgene
ENSG00000248746,Mus musculus,ENSMUSG00000006457,babelgene
ENSG00000130402,Mus musculus,ENSMUSG00000054808,babelgene
ENSG00000131966,Mus musculus,ENSMUSG00000021076,babelgene
ENSG00000138107,Mus musculus,ENSMUSG00000025228,babelgene
ENSG00000115073,Mus musculus,ENSMUSG00000037351,babelgene
ENSG00000138071,Mus musculus,ENSMUSG00000020152,babelgene
ENSG00000115091,Mus musculus,ENSMUSG00000026341,babelgene
ENSG00000133627,Mus musculus,ENSMUSG00000056367,babelgene
ENSG00000106526,Mus musculus,ENSMUSG00000056367,babelgene
ENSG00000101442,Mus musculus,ENSMUSG00000037761,babelgene
ENSG00000075089,Mus musculus,ENSMUSG00000019948,babelgene
ENSG00000113812,Mus musculus,ENSMUSG00000015971,babelgene
ENSG00000184378,Mus musculus,ENSMUSG00000037737,babelgene
ENSG00000115170,Mus musculus,ENSMUSG00000026836,babelgene
ENSG00000135503,Mus musculus,ENSMUSG00000000532,babelgene
ENSG00000123612,Mus musculus,ENSMUSG00000026834,babelgene
ENSG00000121989,Mus musculus,ENSMUSG00000052155,babelgene
ENSG00000114739,Mus musculus,ENSMUSG00000061393,babelgene
ENSG00000139567,Mus musculus,ENSMUSG00000000530,babelgene
ENSG00000243989,Mus musculus,ENSMUSG00000023262,babelgene
ENSG00000132744,Mus musculus,ENSMUSG00000024866,babelgene
ENSG00000119640,Mus musculus,ENSMUSG00000008822,babelgene
ENSG00000170634,Mus musculus,ENSMUSG00000060923,babelgene
ENSG00000196839,Mus musculus,ENSMUSG00000017697,babelgene
ENSG00000164113,Mus musculus,ENSMUSG00000027719,babelgene
ENSG00000140955,Mus musculus,ENSMUSG00000024266,babelgene
ENSG00000168803,Mus musculus,ENSMUSG00000027259,babelgene
ENSG00000137845,Mus musculus,ENSMUSG00000054693,babelgene
ENSG00000073670,Mus musculus,ENSMUSG00000020926,babelgene
ENSG00000148848,Mus musculus,ENSMUSG00000054555,babelgene
ENSG00000143537,Mus musculus,ENSMUSG00000028041,babelgene
ENSG00000151694,Mus musculus,ENSMUSG00000052593,babelgene
ENSG00000168619,Mus musculus,ENSMUSG00000031552,babelgene
ENSG00000135074,Mus musculus,ENSMUSG00000011256,babelgene
ENSG00000134007,Mus musculus,ENSMUSG00000046282,babelgene
ENSG00000134007,Mus musculus,ENSMUSG00000071937,babelgene
ENSG00000134007,Mus musculus,ENSMUSG00000054033,babelgene
ENSG00000139985,Mus musculus,ENSMUSG00000008438,babelgene
ENSG00000008277,Mus musculus,ENSMUSG00000040537,babelgene
ENSG00000114948,Mus musculus,ENSMUSG00000025964,babelgene
ENSG00000042980,Mus musculus,ENSMUSG00000014725,babelgene
ENSG00000168594,Mus musculus,ENSMUSG00000046258,babelgene
ENSG00000197140,Mus musculus,ENSMUSG00000037437,babelgene
ENSG00000149451,Mus musculus,ENSMUSG00000027318,babelgene
ENSG00000069206,Mus musculus,ENSMUSG00000022056,babelgene
ENSG00000151651,Mus musculus,ENSMUSG00000025473,babelgene
ENSG00000168615,Mus musculus,ENSMUSG00000031555,babelgene
ENSG00000134028,Mus musculus,ENSMUSG00000022057,babelgene
ENSG00000154734,Mus musculus,ENSMUSG00000022893,babelgene
ENSG00000142303,Mus musculus,ENSMUSG00000024299,babelgene
ENSG00000151388,Mus musculus,ENSMUSG00000047497,babelgene
ENSG00000160323,Mus musculus,ENSMUSG00000014852,babelgene
ENSG00000138316,Mus musculus,ENSMUSG00000059901,babelgene
ENSG00000166106,Mus musculus,ENSMUSG00000033453,babelgene
ENSG00000145536,Mus musculus,ENSMUSG00000049538,babelgene
ENSG00000140470,Mus musculus,ENSMUSG00000058145,babelgene
ENSG00000140873,Mus musculus,ENSMUSG00000053399,babelgene
ENSG00000145808,Mus musculus,ENSMUSG00000053441,babelgene
ENSG00000087116,Mus musculus,ENSMUSG00000036545,babelgene
ENSG00000173157,Mus musculus,ENSMUSG00000022449,babelgene
ENSG00000156140,Mus musculus,ENSMUSG00000043635,babelgene
ENSG00000158859,Mus musculus,ENSMUSG00000006403,babelgene
ENSG00000154736,Mus musculus,ENSMUSG00000022894,babelgene
ENSG00000049192,Mus musculus,ENSMUSG00000046169,babelgene
ENSG00000136378,Mus musculus,ENSMUSG00000032363,babelgene
ENSG00000134917,Mus musculus,ENSMUSG00000031994,babelgene
ENSG00000163638,Mus musculus,ENSMUSG00000030022,babelgene
ENSG00000178031,Mus musculus,ENSMUSG00000066113,babelgene
ENSG00000197859,Mus musculus,ENSMUSG00000036040,babelgene
ENSG00000156218,Mus musculus,ENSMUSG00000070469,babelgene
ENSG00000143382,Mus musculus,ENSMUSG00000015850,babelgene
ENSG00000185761,Mus musculus,ENSMUSG00000043822,babelgene
ENSG00000105963,Mus musculus,ENSMUSG00000056413,babelgene
ENSG00000184060,Mus musculus,ENSMUSG00000020709,babelgene
ENSG00000160710,Mus musculus,ENSMUSG00000027951,babelgene
ENSG00000197381,Mus musculus,ENSMUSG00000020262,babelgene
ENSG00000185736,Mus musculus,ENSMUSG00000052551,babelgene
ENSG00000065457,Mus musculus,ENSMUSG00000031949,babelgene
ENSG00000189007,Mus musculus,ENSMUSG00000019808,babelgene
ENSG00000213638,Mus musculus,ENSMUSG00000113640,babelgene
ENSG00000063761,Mus musculus,ENSMUSG00000021044,babelgene
ENSG00000133597,Mus musculus,ENSMUSG00000046947,babelgene
ENSG00000173137,Mus musculus,ENSMUSG00000022550,babelgene
ENSG00000164742,Mus musculus,ENSMUSG00000020431,babelgene
ENSG00000143199,Mus musculus,ENSMUSG00000026567,babelgene
ENSG00000078295,Mus musculus,ENSMUSG00000021536,babelgene
ENSG00000138031,Mus musculus,ENSMUSG00000020654,babelgene
ENSG00000129467,Mus musculus,ENSMUSG00000022220,babelgene
ENSG00000173175,Mus musculus,ENSMUSG00000022840,babelgene
ENSG00000174233,Mus musculus,ENSMUSG00000022994,babelgene
ENSG00000121281,Mus musculus,ENSMUSG00000031659,babelgene
ENSG00000155897,Mus musculus,ENSMUSG00000022376,babelgene
ENSG00000162104,Mus musculus,ENSMUSG00000005580,babelgene
ENSG00000141433,Mus musculus,ENSMUSG00000024256,babelgene
ENSG00000078549,Mus musculus,ENSMUSG00000029778,babelgene
ENSG00000087274,Mus musculus,ENSMUSG00000029106,babelgene
ENSG00000075340,Mus musculus,ENSMUSG00000030000,babelgene
ENSG00000148700,Mus musculus,ENSMUSG00000025026,babelgene
ENSG00000118492,Mus musculus,ENSMUSG00000050994,babelgene
ENSG00000197177,Mus musculus,ENSMUSG00000025475,babelgene
ENSG00000020181,Mus musculus,ENSMUSG00000031486,babelgene
ENSG00000152990,Mus musculus,ENSMUSG00000029090,babelgene
ENSG00000181790,Mus musculus,ENSMUSG00000034730,babelgene
ENSG00000121753,Mus musculus,ENSMUSG00000028782,babelgene
ENSG00000135298,Mus musculus,ENSMUSG00000033569,babelgene
ENSG00000111452,Mus musculus,ENSMUSG00000044017,babelgene
ENSG00000127507,Mus musculus,ENSMUSG00000002885,babelgene
ENSG00000123146,Mus musculus,ENSMUSG00000002885,babelgene
ENSG00000153292,Mus musculus,ENSMUSG00000041293,babelgene
ENSG00000164393,Mus musculus,ENSMUSG00000057899,babelgene
ENSG00000173567,Mus musculus,ENSMUSG00000067642,babelgene
ENSG00000153294,Mus musculus,ENSMUSG00000023918,babelgene
ENSG00000069122,Mus musculus,ENSMUSG00000056492,babelgene
ENSG00000205336,Mus musculus,ENSMUSG00000031785,babelgene
ENSG00000173698,Mus musculus,ENSMUSG00000031298,babelgene
ENSG00000182885,Mus musculus,ENSMUSG00000060470,babelgene
ENSG00000156920,Mus musculus,ENSMUSG00000053852,babelgene
ENSG00000159618,Mus musculus,ENSMUSG00000061577,babelgene
ENSG00000112414,Mus musculus,ENSMUSG00000039116,babelgene
ENSG00000144820,Mus musculus,ENSMUSG00000022755,babelgene
ENSG00000072071,Mus musculus,ENSMUSG00000013033,babelgene
ENSG00000117114,Mus musculus,ENSMUSG00000028184,babelgene
ENSG00000150471,Mus musculus,ENSMUSG00000037605,babelgene
ENSG00000162618,Mus musculus,ENSMUSG00000039167,babelgene
ENSG00000164199,Mus musculus,ENSMUSG00000069170,babelgene
ENSG00000187758,Mus musculus,ENSMUSG00000074207,babelgene
ENSG00000196616,Mus musculus,ENSMUSG00000074207,babelgene
ENSG00000248144,Mus musculus,ENSMUSG00000074207,babelgene
ENSG00000198099,Mus musculus,ENSMUSG00000037797,babelgene
ENSG00000197894,Mus musculus,ENSMUSG00000028138,babelgene
ENSG00000172955,Mus musculus,ENSMUSG00000053054,babelgene
ENSG00000172955,Mus musculus,ENSMUSG00000074206,babelgene
ENSG00000147576,Mus musculus,ENSMUSG00000025911,babelgene
ENSG00000182551,Mus musculus,ENSMUSG00000020629,babelgene
ENSG00000181092,Mus musculus,ENSMUSG00000022878,babelgene
ENSG00000159346,Mus musculus,ENSMUSG00000026457,babelgene
ENSG00000006831,Mus musculus,ENSMUSG00000030168,babelgene
ENSG00000156110,Mus musculus,ENSMUSG00000039197,babelgene
ENSG00000148926,Mus musculus,ENSMUSG00000030790,babelgene
ENSG00000128165,Mus musculus,ENSMUSG00000054136,babelgene
ENSG00000101126,Mus musculus,ENSMUSG00000051149,babelgene
ENSG00000101544,Mus musculus,ENSMUSG00000053950,babelgene
ENSG00000181915,Mus musculus,ENSMUSG00000057134,babelgene
ENSG00000163485,Mus musculus,ENSMUSG00000042429,babelgene
ENSG00000128271,Mus musculus,ENSMUSG00000020178,babelgene
ENSG00000170425,Mus musculus,ENSMUSG00000018500,babelgene
ENSG00000282608,Mus musculus,ENSMUSG00000000562,babelgene
ENSG00000159322,Mus musculus,ENSMUSG00000025236,babelgene
ENSG00000144843,Mus musculus,ENSMUSG00000002844,babelgene
ENSG00000153531,Mus musculus,ENSMUSG00000031448,babelgene
ENSG00000170222,Mus musculus,ENSMUSG00000020910,babelgene
ENSG00000116863,Mus musculus,ENSMUSG00000042558,babelgene
ENSG00000120907,Mus musculus,ENSMUSG00000045875,babelgene
ENSG00000170214,Mus musculus,ENSMUSG00000050541,babelgene
ENSG00000171873,Mus musculus,ENSMUSG00000027335,babelgene
ENSG00000150594,Mus musculus,ENSMUSG00000033717,babelgene
ENSG00000274286,Mus musculus,ENSMUSG00000058620,babelgene
ENSG00000184160,Mus musculus,ENSMUSG00000045318,babelgene
ENSG00000043591,Mus musculus,ENSMUSG00000035283,babelgene
ENSG00000169252,Mus musculus,ENSMUSG00000045730,babelgene
ENSG00000188778,Mus musculus,ENSMUSG00000031489,babelgene
ENSG00000130706,Mus musculus,ENSMUSG00000039041,babelgene
ENSG00000239900,Mus musculus,ENSMUSG00000022407,babelgene
ENSG00000185100,Mus musculus,ENSMUSG00000011148,babelgene
ENSG00000035687,Mus musculus,ENSMUSG00000015961,babelgene
ENSG00000111863,Mus musculus,ENSMUSG00000058022,babelgene
ENSG00000106624,Mus musculus,ENSMUSG00000020473,babelgene
ENSG00000139154,Mus musculus,ENSMUSG00000030232,babelgene
ENSG00000181026,Mus musculus,ENSMUSG00000030609,babelgene
ENSG00000196526,Mus musculus,ENSMUSG00000029094,babelgene
ENSG00000157510,Mus musculus,ENSMUSG00000033032,babelgene
ENSG00000169129,Mus musculus,ENSMUSG00000025083,babelgene
ENSG00000130396,Mus musculus,ENSMUSG00000068036,babelgene
ENSG00000172493,Mus musculus,ENSMUSG00000029313,babelgene
ENSG00000155966,Mus musculus,ENSMUSG00000031189,babelgene
ENSG00000144218,Mus musculus,ENSMUSG00000037138,babelgene
ENSG00000072364,Mus musculus,ENSMUSG00000049470,babelgene
ENSG00000135537,Mus musculus,ENSMUSG00000038302,babelgene
ENSG00000141385,Mus musculus,ENSMUSG00000024527,babelgene
ENSG00000079557,Mus musculus,ENSMUSG00000029369,babelgene
ENSG00000183077,Mus musculus,ENSMUSG00000017718,babelgene
ENSG00000081051,Mus musculus,ENSMUSG00000054932,babelgene
ENSG00000119844,Mus musculus,ENSMUSG00000049659,babelgene
ENSG00000038002,Mus musculus,ENSMUSG00000031521,babelgene
ENSG00000157985,Mus musculus,ENSMUSG00000055013,babelgene
ENSG00000261011,Mus musculus,ENSMUSG00000055013,babelgene
ENSG00000135439,Mus musculus,ENSMUSG00000025422,babelgene
ENSG00000133612,Mus musculus,ENSMUSG00000023353,babelgene
ENSG00000188234,Mus musculus,ENSMUSG00000055013,babelgene
ENSG00000172650,Mus musculus,ENSMUSG00000055013,babelgene
ENSG00000204149,Mus musculus,ENSMUSG00000055013,babelgene
ENSG00000264204,Mus musculus,ENSMUSG00000055013,babelgene
ENSG00000204172,Mus musculus,ENSMUSG00000055013,babelgene
ENSG00000273540,Mus musculus,ENSMUSG00000025754,babelgene
ENSG00000165923,Mus musculus,ENSMUSG00000040812,babelgene
ENSG00000146856,Mus musculus,ENSMUSG00000038836,babelgene
ENSG00000186094,Mus musculus,ENSMUSG00000061298,babelgene
ENSG00000084693,Mus musculus,ENSMUSG00000029165,babelgene
ENSG00000204305,Mus musculus,ENSMUSG00000015452,babelgene
ENSG00000173744,Mus musculus,ENSMUSG00000026159,babelgene
ENSG00000106351,Mus musculus,ENSMUSG00000029722,babelgene
ENSG00000164252,Mus musculus,ENSMUSG00000021681,babelgene
ENSG00000006530,Mus musculus,ENSMUSG00000029916,babelgene
ENSG00000162688,Mus musculus,ENSMUSG00000033400,babelgene
ENSG00000116771,Mus musculus,ENSMUSG00000040706,babelgene
ENSG00000187546,Mus musculus,ENSMUSG00000050103,babelgene
ENSG00000092847,Mus musculus,ENSMUSG00000041530,babelgene
ENSG00000123908,Mus musculus,ENSMUSG00000036698,babelgene
ENSG00000126070,Mus musculus,ENSMUSG00000028842,babelgene
ENSG00000134698,Mus musculus,ENSMUSG00000042500,babelgene
ENSG00000204310,Mus musculus,ENSMUSG00000034254,babelgene
ENSG00000169692,Mus musculus,ENSMUSG00000026922,babelgene
ENSG00000160216,Mus musculus,ENSMUSG00000001211,babelgene
