gene_id,symbol,og_id,human_ortholog
AT1G02130,ARA-5|ARA5|ATRAB1B|ATRABD2A|RA-5|RABD2A,794814at2759,ENSG00000169213.7|ENSG00000188060.8|ENSG00000139998.16|ENSG00000103769.10|ENSG00000166128.13|ENSG00000069974.17|ENSG00000104388.15|ENSG00000111540.16|ENSG00000129472.15|ENSG00000108774.15|ENSG00000119396.12|ENSG00000099246.18|ENSG00000132698.15|ENSG00000143545.10|ENSG00000124209.4|ENSG00000179331.3|ENSG00000111737.12|ENSG00000084733.11|ENSG00000206418.5|ENSG00000168461.13|ENSG00000137502.10|ENSG00000144566.11|ENSG00000174903.16|ENSG00000152932.8|ENSG00000041353.10|ENSG00000168118.12|ENSG00000138069.18|ENSG00000172794.20|ENSG00000167964.13|ENSG00000146955.11|ENSG00000169228.14|ENSG00000105514.8|ENSG00000167578.18|ENSG00000105649.10|ENSG00000167461.12|ENSG00000172780.17|ENSG00000155961.5|ENSG00000185236.12|ENSG00000132698.15|ENSG00000188060.8|ENSG00000169213.7|ENSG00000143545.10|ENSG00000168118.12|ENSG00000138069.18|ENSG00000084733.11|ENSG00000144566.11|ENSG00000169228.14|ENSG00000152932.8|ENSG00000146955.11|ENSG00000104388.15|ENSG00000119396.12|ENSG00000099246.18|ENSG00000174903.16|ENSG00000137502.10|ENSG00000179331.3|ENSG00000111737.12|ENSG00000139998.16|ENSG00000129472.15|ENSG00000069974.17|ENSG00000103769.10|ENSG00000166128.13|ENSG00000167964.13|ENSG00000172794.20|ENSG00000108774.15|ENSG00000041353.10|ENSG00000168461.13|ENSG00000206418.5|ENSG00000105514.8|ENSG00000185236.12|ENSG00000167461.12|ENSG00000105649.10|ENSG00000167578.18|ENSG00000124209.4|ENSG00000155961.5
AT1G02140,HAP1|MAGO|MEE63,4969901at2759,ENSG00000162385.11|ENSG00000111196.10|ENSG00000162385.11|ENSG00000111196.10
AT1G02160,,796999at2759,
AT1G02190,CER1-L1,800454at2759,
AT1G02270,,5000141at2759,ENSG00000174606.14|ENSG00000174606.14
AT1G02280,ATTOC33|PPI1|TOC33,4449123at2759,
AT1G02290,NFRKB3,535370at2759,
AT1G02305,AtcathB2,4433957at2759,ENSG00000164733;ENSG00000164733.22|ENSG00000164733.22;ENSG00000285132.2
AT1G02330,CSU2,3493223at2759,ENSG00000136819.15|ENSG00000136819.15
AT1G02380,,335997at2759,
AT1G02400,ATGA2OX4|ATGA2OX6|DTA1|GA2OX6,4841398at2759,
AT1G02410,COX11,4896098at2759,ENSG00000166260.13|ENSG00000166260.13
AT1G02490,,273496at2759,
AT1G02500,AtSAM1|MAT1|METK1|SAM-1|SAM1,268428at2759,
AT1G02560,CLPP5|NCLPP1|NCLPP5,530595at2759,ENSG00000125656.11|ENSG00000125656.11
AT1G02575,,266339at2759,
AT1G02630,,794782at2759,
AT1G02680,TAF13,111098at2759,ENSG00000197780.11|ENSG00000197780.11
AT1G02705,,347169at2759,
AT1G02740,MRG2,5017985at2759,
AT1G02780,eL19x|emb2386,4993771at2759,ENSG00000108298.12|ENSG00000108298.12
AT1G02813,,644033at2759,
AT1G02816,,644033at2759,
AT1G02850,BGLU11,667124at2759,
AT1G02860,BAH1|NLA|SYG1,808299at2759,
AT1G02880,TPK1,5003509at2759,
AT1G02890,,480481at2759,
AT1G02900,ATRALF1|RALF1|RALFL1,1807433at2759,
AT1G02910,LPA1,802493at2759,
AT1G02920,ATGST11|ATGSTF7|ATGSTF8|GST11|GSTF7,591622at2759,
AT1G02930,ATGST1|ATGSTF3|ATGSTF6|ERD11|GST1|GSTF6,591622at2759,
AT1G02950,ATGSTF4|GST31|GSTF4,255028at2759,
AT1G02960,,610559at2759,
AT1G03000,PEX6,5001583at2759,ENSG00000124587.14|ENSG00000124587.14
AT1G03010,,588513at2759,
AT1G03020,GRXS1|ROXY16,595988at2759,
AT1G03030,,785141at2759,
AT1G03040,bHLH007|PFB2,530983at2759,
AT1G03055,AtD27|D27,636171at2759,
AT1G03110,AtTRM82|TRM82,5002876at2759,ENSG00000160193.12
AT1G03130,PSAD-2,4998889at2759,
AT1G03140,PRP18a,4223806at2759,ENSG00000165630.15
AT1G03150,NAA20,5000743at2759,ENSG00000173418.12|ENSG00000173418.12
AT1G03165,,346814at2759,
AT1G03190,ATXPD|UVH6,4863127at2759,ENSG00000104884.17|ENSG00000104884.17
AT1G03210,,2544295at2759,ENSG00000108187.16|ENSG00000108187.16
AT1G03240,,302718at2759,
AT1G03250,,5018817at2759,
AT1G03270,,610150at2759,
AT1G03320,,346146at2759,
AT1G03330,LSM2,5012648at2759,ENSG00000172850.11;ENSG00000204392.11;ENSG00000224979.6;ENSG00000225998.6;ENSG00000231502.6;ENSG00000236826.7|ENSG00000172850.11;ENSG00000204392.11;ENSG00000224979.6;ENSG00000225998.6;ENSG00000231502.6;ENSG00000236826.7
AT1G03340,,631515at2759,
AT1G03390,,368120at2759,
AT1G03400,,261181at2759,
AT1G03440,,143083at2759,
AT1G03475,ATCPO-I|HEMF1|LIN2,2857851at2759,ENSG00000080819.9|ENSG00000080819.9
AT1G03550,AtSCAMP4|SCAMP4,91313at2759,
AT1G03620,ELMOD_F,529437at2759,
AT1G03630,POR|PORC,801423at2759,
AT1G03680,ATHM1|ATM1|THM1|TRX-M1,5003725at2759,
AT1G03700,CASPL1C2,686974at2759,
AT1G03730,,337371at2759,
AT1G03780,AtTPX2|TPX2,794396at2759,
AT1G03870,FLA9,243772at2759,
AT1G03900,ABCI18|ATNAP4|NAP4,5024281at2759,ENSG00000157191.20|ENSG00000089818.18|ENSG00000157191.20|ENSG00000089818.18
AT1G03905,ABCI19|ATNAP4,4862664at2759,
AT1G03910,CTN,5018204at2759,ENSG00000105298.14|ENSG00000105298.14
AT1G03950,VPS2.3,4838174at2759,ENSG00000130724;ENSG00000130724.10|ENSG00000130724.10
AT1G03980,ATPCS2|PCS2,766189at2759,
AT1G03990,,294334at2759,
AT1G04010,ATPSAT1|ERP1|PSAT1,177280at2759,
AT1G04030,,678895at2759,
AT1G04040,,300015at2759,
AT1G04070,ATTOM22-I|TOM22-I,809635at2759,
AT1G04120,ABCC5|ATABCC5|ATMRP5|MRP5,5006073at2759,ENSG00000069431.14|ENSG00000006071.16|ENSG00000108846.16|ENSG00000125257.16|ENSG00000121270.16|ENSG00000140798.17|ENSG00000001626.18|ENSG00000103222;ENSG00000103222.20;ENSG00000278183.4|ENSG00000091262.17;ENSG00000275331.5|ENSG00000023839.12|ENSG00000114770.17|ENSG00000114770.17|ENSG00000001626.18|ENSG00000023839.12|ENSG00000006071.16|ENSG00000069431.14|ENSG00000125257.16|ENSG00000091262.17;ENSG00000275331.5|ENSG00000103222.20;ENSG00000278183.4|ENSG00000140798.17|ENSG00000121270.16|ENSG00000108846.16
AT1G04170,EIF2,3845611at2759,ENSG00000130741.11|ENSG00000180574.4|ENSG00000130741.11
AT1G04250,AtIAA17|AXR3|IAA17,648061at2759,
AT1G04270,RPS15|uS19u,5023853at2759,ENSG00000115268.10|ENSG00000115268.10
AT1G04290,,2466201at2759,ENSG00000112304.11|ENSG00000112304.11
AT1G04330,PH2,230146at2759,
AT1G04340,,673017at2759,
AT1G04350,,223751at2759,
AT1G04430,,524414at2759,
AT1G04490,,629449at2759,
AT1G04500,,4850922at2759,
AT1G04510,MAC3A|PUB59,5001744at2759,ENSG00000110107.9|ENSG00000110107.9
AT1G04555,,245556at2759,
AT1G04560,,674169at2759,
AT1G04570,,558989at2759,
AT1G04610,YUC3,705275at2759,
AT1G04635,AtPOP5|EMB1687|POP5,649874at2759,
AT1G04640,LIP2,4969593at2759,ENSG00000175536.7|ENSG00000121897.15|ENSG00000121897.15|ENSG00000175536.7
AT1G04645,,547234at2759,
AT1G04660,,347642at2759,
AT1G04680,,257321at2759,
AT1G04690,KAB1|KV-BETA1,4851837at2759,
AT1G04710,KAT1|PKT4,537735at2759,
AT1G04750,AT|ATVAMP721|VAMP721|VAMP7B,741905at2759,
AT1G04770,SDI2,609859at2759,
AT1G04780,,771099at2759,
AT1G04880,AtHMGB15|HMGBD15,767231at2759,
AT1G04920,ATSPS3F|AtSPSB|SPS3F|SPSB,284688at2759,
AT1G04960,,75859at2759,
AT1G04985,,294739at2759,
AT1G04990,AtC3H3,4822122at2759,ENSG00000160201.12|ENSG00000161265.15|ENSG00000160201.12
AT1G05010,ACO4|EAT1|EFE,608472at2759,
AT1G05020,AP180|PICALM6,167157at2759,
AT1G05030,,610652at2759,
AT1G05040,,694570at2759,
AT1G05055,ATGTF2H2|GTF2H2,5000201at2759,ENSG00000145736.15;ENSG00000183474.16;ENSG00000274675.4;ENSG00000275045.4;ENSG00000276910.4|ENSG00000145736.15;ENSG00000275045.4;ENSG00000276910.4|ENSG00000183474.16;ENSG00000274675.4|ENSG00000145736.15;ENSG00000275045.4;ENSG00000276910.4
AT1G05060,,441146at2759,
AT1G05065,CLE20,133749at2759,
AT1G05090,,304805at2759,
AT1G05120,,4841968at2759,
AT1G05180,AXR1,4906318at2759,ENSG00000159593.15|ENSG00000159593.15
AT1G05190,EMB2394|RPL6|uL6c,3460839at2759,
AT1G05205,,789697at2759,
AT1G05210,,4838350at2759,
AT1G05230,HDG2,267729at2759,
AT1G05270,TRB1,5003305at2759,
AT1G05330,,341108at2759,
AT1G05340,AthCYSTM1,341909at2759,
AT1G05385,LPA19|Psb27-H1,502690at2759,
AT1G05450,,692384at2759,
AT1G05470,CVP2,769829at2759,
AT1G05510,OBAP1a,608652at2759,
AT1G05520,AtSEC23B,5012811at2759,ENSG00000100934.15|ENSG00000101310.17|ENSG00000100934.15|ENSG00000101310.17
AT1G05530,UGT2|UGT75B2,659832at2759,
AT1G05577,SOK1,298985at2759,
AT1G05590,ATHEX3|HEXO2,279793at2759,
AT1G05610,APS2,143921at2759,
AT1G05620,NSH2|URH2,3158431at2759,
AT1G05640,,718954at2759,
AT1G05660,,447574at2759,
AT1G05670,,459946at2759,
AT1G05675,,350412at2759,
AT1G05680,UGT74E2,350412at2759,
AT1G05700,,664127at2759,
AT1G05810,ARA|ARA-1|ATRAB11D|ATRABA5E|RABA5E,352078at2759,
AT1G05860,,550157at2759,
AT1G05870,,666727at2759,
AT1G05890,ARI5|ATARI5,5012988at2759,
AT1G05894,,655720at2759,
AT1G05900,ATNTH2|NTH2,5017727at2759,ENSG00000065057.9
AT1G05950,,632267at2759,
AT1G05990,CML7|RHS1,4899170at2759,
AT1G06020,FRK3|FRK5,4852307at2759,
AT1G06040,BBX24|STO,537055at2759,
AT1G06050,,169585at2759,
AT1G06060,,5007156at2759,
AT1G06070,bZIP69,689544at2759,
AT1G06120,ADS1.4,272082at2759,
AT1G06130,GLX2-4|GLXII.4,4877988at2759,ENSG00000063854.13|ENSG00000103253.19|ENSG00000063854.13|ENSG00000103253.19
AT1G06135,CTNIP1|SCREW1,394313at2759,
AT1G06210,TOL2,794854at2759,
AT1G06220,CLO|GFA1|MEE5,4858627at2759,ENSG00000108883.13|ENSG00000140598.16|ENSG00000167658.16|ENSG00000140598.16|ENSG00000108883.13|ENSG00000167658.16
AT1G06225,CLE3,177937at2759,
AT1G06320,,550349at2759,
AT1G06330,AtHMP02,131123at2759,
AT1G06350,ADS4|AtADS4|CER17,253957at2759,
AT1G06400,ARA-2|ARA2|ATRAB11E|ATRABA1A,35153at2759,
AT1G06410,ATTPS7|ATTPSA|TPS7,475388at2759,
AT1G06430,FTSH8,5000031at2759,
AT1G06460,ACD31.2|ACD32.1,655629at2759,
AT1G06490,ATGSL07|atgsl7|CalS7|gsl07|GSL07|GSL7,167919at2759,
AT1G06550,,5003896at2759,
AT1G06570,HPD|HPPD|PDS1,4660921at2759,ENSG00000186603.7|ENSG00000158104.11|ENSG00000186603.7|ENSG00000158104.11
AT1G06660,JASON,600036at2759,
AT1G06680,OE23|OEE2|PSBP-1|PSII-P,786272at2759,
AT1G06690,,613902at2759,
AT1G06700,CARK7,717421at2759,
AT1G06740,,266816at2759,
AT1G06770,AtBMI1B|ATDRIP1|AtRING1B|DRIP1,5024558at2759,ENSG00000115289.14|ENSG00000115289.14
AT1G06790,NRPC7,4843824at2759,ENSG00000100413.17
AT1G06800,DALL4|PLA-I{gamma}1,748905at2759,
AT1G06820,CCR2|CRTISO,5002039at2759,
AT1G06830,CEPD1|ROXY6,595988at2759,
AT1G06840,HAK1,540428at2759,
AT1G06890,UXT3,516269at2759,ENSG00000175782.11|ENSG00000175782.11
AT1G06923,,321165at2759,
AT1G06930,,550035at2759,
AT1G06960,U2BL,4986878at2759,ENSG00000125870.11|ENSG00000125870.11
AT1G06980,,495144at2759,
AT1G07010,AtSLP1|SLP1,5003448at2759,
AT1G07020,,677140at2759,
AT1G07030,MIT2,4885099at2759,ENSG00000147454.14|ENSG00000155287.12|ENSG00000147454.14|ENSG00000155287.12
AT1G07040,,313908at2759,
AT1G07070,eL33w,5012821at2759,ENSG00000182899.17
AT1G07090,LSH6,326892at2759,
AT1G07110,ATF2KP|F2KP|FKFBP,764506at2759,ENSG00000114268.12|ENSG00000123836.15|ENSG00000170525.21|ENSG00000158571.11|ENSG00000123836.15|ENSG00000114268.12|ENSG00000170525.21|ENSG00000170525.21
AT1G07120,IPGAL1,279161at2759,
AT1G07130,ATSTN1|STN1,661139at2759,
AT1G07140,SIRANBP,5015957at2759,ENSG00000099901.17|ENSG00000099901.17
AT1G07175,,195489at2759,
AT1G07240,UGT71C5,178907at2759,
AT1G07250,UGT71C4,178907at2759,
AT1G07340,ATSTP2|STP2,152157at2759,
AT1G07370,ATPCNA1|PCNA1,316342at2759,ENSG00000132646.11|ENSG00000132646.11
AT1G07410,ATRAB-A2B|ATRABA2B|RAB-A2B|RABA2b,35153at2759,
AT1G07420,ATSMO1|SMO2-1,3769989at2759,ENSG00000052802.13|ENSG00000170271.11|ENSG00000109929.10|ENSG00000052802.13|ENSG00000170271.11|ENSG00000109929.10
AT1G07470,,307358at2759,
AT1G07473,,272672at2759,
AT1G07490,DVL9|RTFL3,102534at2759,
AT1G07520,,609699at2759,
AT1G07530,ATGRAS2|GRAS2|SCL14,609699at2759,
AT1G07590,,633327at2759,
AT1G07630,PLL5,659835at2759,
AT1G07650,LMK1,225256at2759,
AT1G07740,,492803at2759,
AT1G07745,ATRAD51D|RAD51D|SSN1,5018758at2759,ENSG00000185379.21|ENSG00000185379.21
AT1G07795,,685921at2759,
AT1G07830,uL29m,4973127at2759,ENSG00000136522.14|ENSG00000136522.14
AT1G07880,ATMPK13,529197at2759,
AT1G07890,APX1|ATAPX01|ATAPX1|CS1|MEE6,4837463at2759,
AT1G07901,,348456at2759,
AT1G07950,MED22B,5014837at2759,ENSG00000148297.16;ENSG00000281022.3|ENSG00000148297.16;ENSG00000281022.3
AT1G07960,ATPDIL5-1|PDIL5-1,545724at2759,
AT1G07980,NF-YC10,5018534at2759,ENSG00000104472.10|ENSG00000104472.10
AT1G07985,LIPA,343714at2759,
AT1G08000,GATA10,5004698at2759,
AT1G08005,,290537at2759,
AT1G08010,GATA11,5004698at2759,
AT1G08030,AQC1|HPS7|TPST,795052at2759,
AT1G08035,,677849at2759,
AT1G08040,,6992at2759,
AT1G08050,,4361154at2759,
AT1G08090,ACH1|ATNRT2.1|ATNRT2:1|LIN1|NRT2|NRT2.1|NRT2:1|NRT2;1AT,748480at2759,
AT1G08160,,241778at2759,
AT1G08165,,351670at2759,
AT1G08180,SMR2,196059at2759,
AT1G08200,AXS2,588383at2759,
AT1G08210,,4976591at2759,ENSG00000109475.17|ENSG00000109475.17
AT1G08220,,5003293at2759,
AT1G08230,,785990at2759,
AT1G08250,ADT6|AtADT6,4760669at2759,
AT1G08270,,4887614at2759,ENSG00000132612.16|ENSG00000119541.10|ENSG00000132612.16|ENSG00000119541.10
AT1G08280,GALT29A,708874at2759,
AT1G08315,,170377at2759,
AT1G08320,bZIP21|TGA9,65365at2759,
AT1G08340,,5019475at2759,
AT1G08360,uL1z,5013275at2759,
AT1G08380,PSAO,649578at2759,
AT1G08390,RMI2,221615at2759,
AT1G08410,DIG6|LSG1-2,5014784at2759,ENSG00000041802.11|ENSG00000041802.11
AT1G08420,BSL2,741754at2759,
AT1G08430,ALMT1|ATALMT1,306387at2759,
AT1G08490,ATCPNIFS|ATNFS2|ATSUFS|CPNIFS|SUFS,5000323at2759,
AT1G08500,AtENODL18|ENODL18,706269at2759,
AT1G08510,FATB,619276at2759,
AT1G08570,ACHT4,796403at2759,
AT1G08580,,655900at2759,
AT1G08590,ATPXL1|PXL1,643341at2759,
AT1G08610,,62364at2759,
AT1G08650,ATPPCK1|PPCK1,4803982at2759,
AT1G08660,MGP2|SIA1,699558at2759,
AT1G08670,,165072at2759,
AT1G08695,SCRL3,257914at2759,
AT1G08700,PS1,5004876at2759,ENSG00000080815.19;ENSG00000080815.20|ENSG00000143801;ENSG00000143801.18|ENSG00000143801.18|ENSG00000080815.20
AT1G08710,,447314at2759,
AT1G08780,AIP3|PFD4,5003845at2759,
AT1G08810,AtMYB60|MYB60,610643at2759,
AT1G08830,AtSOD1|CSD1|SOD1,801991at2759,ENSG00000142168.15|ENSG00000142168.15
AT1G08840,emb2411|JHS1,5019247at2759,ENSG00000138346.15|ENSG00000204130.14|ENSG00000176783.15;ENSG00000284260.2|ENSG00000018189.13|ENSG00000018189.13|ENSG00000176783.15;ENSG00000284260.2|ENSG00000204130.14
AT1G08845,HES|uL18-L5,161245at2759,
AT1G08880,G-H2AX|GAMMA-H2AX|H2AXA|HTA5,4285218at2759,
AT1G08890,ESL3.05,312509at2759,ENSG00000117394.24|ENSG00000163581.14|ENSG00000059804.16|ENSG00000173262.12|ENSG00000109667.12|ENSG00000181856.15;ENSG00000288174.1|ENSG00000133460.20;ENSG00000275744.4|ENSG00000142583.18|ENSG00000197241.4|ENSG00000117394.24|ENSG00000142583.18|ENSG00000163581.14|ENSG00000109667.12|ENSG00000059804.16|ENSG00000173262.12|ENSG00000181856.15;ENSG00000288174.1|ENSG00000133460.20;ENSG00000275744.4
AT1G08900,,300626at2759,
AT1G08910,PIAL1,626553at2759,
AT1G08920,ESL1,300626at2759,
AT1G08940,,5015586at2759,ENSG00000152620.13|ENSG00000152620.13
AT1G08960,ATCAX11|AtCXX5|CAX11|CCX5,805810at2759,
AT1G08970,HAP5C|NF-YC9,537736at2759,
AT1G08980,AMI1|ATAMI1|ATTOC64-I|TOC64-I,4564415at2759,ENSG00000117480.16|ENSG00000165591.7|ENSG00000117480.16|ENSG00000165591.7
AT1G09020,ATSNF4|KINbeta-gamma|SNF4,4842397at2759,ENSG00000181929.13|ENSG00000115592.13|ENSG00000106617.15|ENSG00000115592.13|ENSG00000106617.15|ENSG00000181929.13
AT1G09080,BIP3|HSP70-13,5013265at2759,
AT1G09100,RPT5B,4940471at2759,ENSG00000161057.13|ENSG00000165916.9|ENSG00000161057.13|ENSG00000165916.9
AT1G09150,,4867008at2759,ENSG00000101898.7|ENSG00000232119.8;ENSG00000288295.1|ENSG00000101898.7|ENSG00000232119.8;ENSG00000288295.1
AT1G09155,AtPP2-B15|PP2-B15,592797at2759,
AT1G09157,DMP8,265119at2759,
AT1G09160,,794577at2759,
AT1G09230,U11/U12-65K,4392311at2759,ENSG00000089682.17|ENSG00000089682.17
AT1G09250,AIF4,197486at2759,
AT1G09330,ECH,531152at2759,
AT1G09340,CRB|CSP41B|HIP1.3,4838012at2759,
AT1G09450,AtHaspin|Haspin,2739262at2759,ENSG00000177602.5
AT1G09490,,267767at2759,
AT1G09520,,681649at2759,
AT1G09530,PAP3|PIF3|POC1,648706at2759,
AT1G09570,FHY2|FRE1|HY8|PHYA,531243at2759,
AT1G09575,MCU1,4977573at2759,
AT1G09580,,614510at2759,
AT1G09610,GXM1,2693814at2759,
AT1G09630,ATRAB-A2A|ATRAB11C|ATRABA2A|RAB-A2A|RAB11c,35153at2759,
AT1G09640,,588646at2759,ENSG00000254772.10|ENSG00000254772.10
AT1G09645,,679789at2759,
AT1G09660,AtKH1,5000869at2759,
AT1G09740,,614829at2759,
AT1G09750,,631669at2759,
AT1G09780,iPGAM1,2217459at2759,
AT1G09794,,4670017at2759,ENSG00000214827.11|ENSG00000182712.16|ENSG00000182712.16|ENSG00000214827.11
AT1G09812,,392985at2759,
AT1G09840,ASKk|AtHIR1|ATSK41|SK41,5002737at2759,
AT1G09860,ATPUP16|PUP16,337513at2759,
AT1G09870,,4772170at2759,ENSG00000107789.16|ENSG00000107789.16
AT1G09880,,2307168at2759,
AT1G09890,,2679942at2759,
AT1G09900,,62364at2759,
AT1G09920,,628419at2759,
AT1G09930,ATOPT2|OPT2,609836at2759,
AT1G09960,ATSUC4|ATSUT4|SUC4|SUT4,632796at2759,
AT1G09970,LRR|RLK7,643341at2759,
AT1G09980,,4434014at2759,ENSG00000147724.12|ENSG00000082269.17|ENSG00000082269.17|ENSG00000147724.12
AT1G09995,,736475at2759,
AT1G10020,,157436at2759,
AT1G10030,ERG28,434276at2759,
AT1G10040,,5016070at2759,
AT1G10090,,618357at2759,
AT1G10120,CIB4,654012at2759,
AT1G10140,,129623at2759,
AT1G10155,ATPP2-A10|PP2-A10,583003at2759,
AT1G10200,AtWLIM1|WLIM1,5014239at2759,
AT1G10280,,792254at2759,
AT1G10350,,76462at2759,ENSG00000069345.12|ENSG00000162616.9|ENSG00000187726.9|ENSG00000090520.12|ENSG00000137094.16|ENSG00000132002;ENSG00000132002.9|ENSG00000162616.9|ENSG00000090520.12|ENSG00000137094.16|ENSG00000069345.12|ENSG00000132002.9
AT1G10360,ATGSTU18|GST29|GSTU18,608013at2759,
AT1G10370,ATGSTU17|ERD9|GST30|GST30B|GSTU17,608013at2759,
AT1G10410,,4816605at2759,
AT1G10430,PP2A-2,412870at2759,ENSG00000113575.12|ENSG00000104695.13|ENSG00000119414.12|ENSG00000186298.12|ENSG00000213639.10;ENSG00000213639.11|ENSG00000172531.16|ENSG00000149923.14|ENSG00000213639.11|ENSG00000113575.12|ENSG00000104695.13|ENSG00000119414.12|ENSG00000172531.16|ENSG00000186298.12|ENSG00000149923.14
AT1G10470,ARR4|ATRR1|IBC7|MEE7,230122at2759,
AT1G10500,ATCPISCA|CPISCA|ISCA|SUFA1,400472at2759,
AT1G10510,emb2004,4989224at2759,ENSG00000146221.10|ENSG00000187905.11|ENSG00000146221.10|ENSG00000187905.11
AT1G10520,AtPol{lambda}|Pol{lambda},4979999at2759,ENSG00000070501.12|ENSG00000166169.17
AT1G10522,PRIN2,403973at2759,
AT1G10540,ATNAT8|NAT8,272478at2759,
AT1G10588,AtGASA15|GASA8L,314675at2759,
AT1G10590,,4849195at2759,
AT1G10600,AMSH2,4135791at2759,ENSG00000124356;ENSG00000124356.17|ENSG00000124356.17|ENSG00000124356.17|ENSG00000138134.12
AT1G10630,ARFA1F|ATARFA1F,260370at2759,
AT1G10640,,667101at2759,
AT1G10657,DEG17,351947at2759,
AT1G10660,,4814181at2759,
AT1G10670,ACLA-1,4807349at2759,ENSG00000131473.17
AT1G10710,PHS1|REC114,410847at2759,
AT1G10730,AP1M1,544131at2759,ENSG00000221838.10|ENSG00000129354.12|ENSG00000072958.9|ENSG00000161203;ENSG00000161203.14|ENSG00000161203.14|ENSG00000221838.10|ENSG00000072958.9|ENSG00000129354.12
AT1G10760,GWD|GWD1|SEX1|SOP|SOP1,5002676at2759,
AT1G10800,,409627at2759,
AT1G10820,,761926at2759,
AT1G10830,Z-ISO|Z-ISO1.1|Z-ISO1.2,5002688at2759,
AT1G10840,TIF3H1,5012806at2759,ENSG00000147677.12|ENSG00000147677.12
AT1G10865,,4916280at2759,
AT1G10880,,792254at2759,
AT1G10890,,514673at2759,
AT1G10900,PIP5K7,4917248at2759,ENSG00000107242.20|ENSG00000107242.20
AT1G10940,ASK1|SNRK2-4|SNRK2.4|SRK2A,627735at2759,
AT1G10960,ATFD1|FD1,754555at2759,
AT1G10970,ATZIP4|ZIP4,5016471at2759,
AT1G11000,ATMLO4|MLO4,648971at2759,
AT1G11020,,642427at2759,
AT1G11050,,5018319at2759,
AT1G11080,scpl31,4805980at2759,
AT1G11090,MAGL1,4926339at2759,ENSG00000144827.9|ENSG00000074416.16|ENSG00000074416.16|ENSG00000144827.9
AT1G11112,,127141at2759,
AT1G11125,,689455at2759,
AT1G11130,SCM|SRF9|SUB,338475at2759,
AT1G11240,,680572at2759,
AT1G11260,ATSTP1|STP1,337415at2759,
AT1G11310,ATMLO2|MLO2|PMR2,648971at2759,
AT1G11380,,670286at2759,
AT1G11390,ABC1K10a,1868875at2759,ENSG00000133597.11|ENSG00000133597.11
AT1G11400,PYM,5020826at2759,ENSG00000170473.17|ENSG00000170473.17
AT1G11480,,669465at2759,
AT1G11490,,312939at2759,
AT1G11500,DEAL3,312078at2759,
AT1G11530,ATCXXS1|CXXS1,4804397at2759,
AT1G11545,XTH8,612680at2759,
AT1G11570,NTL,4981750at2759,
AT1G11572,,273734at2759,
AT1G11600,CYP77B1,631417at2759,
AT1G11620,,346678at2759,
AT1G11630,PPR336L,267622at2759,
AT1G11650,ATRBP45B|RBP45B,5018936at2759,ENSG00000180098.9|ENSG00000180098.9
AT1G11655,,329408at2759,
AT1G11660,HSP70-16,634099at2759,ENSG00000164070.12|ENSG00000170606.16|ENSG00000120694.20|ENSG00000164070.12|ENSG00000170606.16|ENSG00000120694.20
AT1G11670,,595333at2759,ENSG00000180638;ENSG00000180638.19|ENSG00000142494.13|ENSG00000142494.13
AT1G11680,atCYP51|CYP51|CYP51A2|CYP51G1|EMB1738,529470at2759,ENSG00000001630.18|ENSG00000001630.18
