human_ensembl,Arabidopsis thaliana,Caenorhabditis elegans,Drosophila melanogaster,Mus musculus,Saccharomyces cerevisiae,n_species
ENSG00000004776,,WBGene00002011,FBgn0011296,ENSMUSG00000036854,,3
ENSG00000004777,,WBGene00009800,FBgn0032821,ENSMUSG00000036882,,3
ENSG00000004779,AT2G44620,WBGene00013237,FBgn0011361,ENSMUSG00000030869,YKL192C,5
ENSG00000004799,AT3G06483,WBGene00022719,FBgn0017558,ENSMUSG00000019577,YGL059W,5
ENSG00000004809,,WBGene00009729,FBgn0038407,ENSMUSG00000019834,,3
ENSG00000004838,,,FBgn0266709,ENSMUSG00000010044,,2
ENSG00000004846,,WBGene00003995,FBgn0004512,ENSMUSG00000072791,YKL209C,4
ENSG00000004848,,WBGene00000435,FBgn0000061,ENSMUSG00000035277,,3
ENSG00000004864,,WBGene00019326,FBgn0028646,ENSMUSG00000015112,YPR021C,4
ENSG00000004866,,WBGene00008686,FBgn0037026,ENSMUSG00000029534,,3
ENSG00000004897,AT2G20000,WBGene00003132,FBgn0012058,ENSMUSG00000020687,YBL084C,5
ENSG00000004939,,WBGene00019844,FBgn0036043,ENSMUSG00000006574,YNL275W,4
ENSG00000004948,,WBGene00014035,FBgn0052843,ENSMUSG00000023964,,3
ENSG00000004961,,WBGene00011527,FBgn0038925,ENSMUSG00000031352,YAL039C,4
ENSG00000004975,,WBGene00001102,FBgn0000499,ENSMUSG00000020888,,3
ENSG00000005001,,WBGene00006619,FBgn0033365,ENSMUSG00000045027,,3
ENSG00000005007,,WBGene00004880,FBgn0030354,ENSMUSG00000058301,YMR080C,4
ENSG00000005020,,,,ENSMUSG00000059182,,1
ENSG00000005022,,WBGene00006439,FBgn0003360,ENSMUSG00000016319,YMR056C,4
ENSG00000005059,,WBGene00019296,FBgn0042185,ENSMUSG00000027994,,3
ENSG00000005073,,,,ENSMUSG00000038210,,1
ENSG00000005075,,WBGene00012187,FBgn0032634,ENSMUSG00000039771,YOL005C,4
ENSG00000005100,,WBGene00020263,FBgn0032194,ENSMUSG00000040620,YKL078W,4
ENSG00000005102,,,,ENSMUSG00000001493,,1
ENSG00000005108,,,,ENSMUSG00000032625,,1
ENSG00000005156,,WBGene00010626,FBgn0286075,ENSMUSG00000020697,,3
ENSG00000005175,,,FBgn0015544,ENSMUSG00000022466,,2
ENSG00000005187,,WBGene00009106,,ENSMUSG00000030935,,2
ENSG00000005189,,WBGene00015462,FBgn0286051,ENSMUSG00000030924,YLR107W,4
ENSG00000005194,AT5G18400,WBGene00020604,FBgn0001977,ENSMUSG00000031781,YKR071C,5
ENSG00000005206,,WBGene00007979,,ENSMUSG00000035206,,2
ENSG00000005238,,,,ENSMUSG00000036002,,1
ENSG00000005243,,WBGene00010333,FBgn0040512,ENSMUSG00000018672,YPL010W,4
ENSG00000005249,,,FBgn0022382,ENSMUSG00000002997,YIL033C,3
ENSG00000005302,,,FBgn0002775,ENSMUSG00000031358,YPR023C,3
ENSG00000005339,,WBGene00000366,FBgn0261617,ENSMUSG00000022521,,3
ENSG00000005379,,WBGene00006513,FBgn0262483,ENSMUSG00000034156,,3
ENSG00000005381,,WBGene00004256,FBgn0011828,ENSMUSG00000009350,,3
ENSG00000005421,,WBGene00003170,,ENSMUSG00000002588,,2
ENSG00000005436,,WBGene00009672,FBgn0037466,ENSMUSG00000035125,,3
ENSG00000005448,,WBGene00018213,,ENSMUSG00000030032,,2
ENSG00000005469,,WBGene00009622,FBgn0039543,ENSMUSG00000003623,,3
ENSG00000005471,,WBGene00003995,FBgn0004513,ENSMUSG00000042476,YKL209C,4
ENSG00000005483,,WBGene00012845,FBgn0036398,ENSMUSG00000029004,YKR029C,4
ENSG00000005486,,,,ENSMUSG00000039917,,1
ENSG00000005513,,,,ENSMUSG00000024176,,1
ENSG00000005700,,,FBgn0034113,ENSMUSG00000035941,,2
ENSG00000005801,,,FBgn0028878,ENSMUSG00000071291,,2
ENSG00000005810,,WBGene00004457,FBgn0030600,ENSMUSG00000033004,,3
ENSG00000005812,,,,ENSMUSG00000022124,,1
ENSG00000005844,,,FBgn0034005,ENSMUSG00000030830,,2
ENSG00000005882,,WBGene00022719,FBgn0017558,ENSMUSG00000038967,YGL059W,4
ENSG00000005884,,WBGene00002081,FBgn0004456,ENSMUSG00000001507,,3
ENSG00000005889,,,,ENSMUSG00000079509,,1
ENSG00000005893,,WBGene00015471,FBgn0032949,ENSMUSG00000016534,,3
ENSG00000005961,,WBGene00003929,FBgn0001250,ENSMUSG00000034664,,3
ENSG00000005981,,,,ENSMUSG00000042607,,1
ENSG00000006007,,WBGene00022532,FBgn0038432,ENSMUSG00000033917,,3
ENSG00000006015,,,,ENSMUSG00000058833,,1
ENSG00000006016,,,,ENSMUSG00000007888,,1
ENSG00000006025,,,,ENSMUSG00000038534,YHR073W,2
ENSG00000006042,,WBGene00010731,,ENSMUSG00000035413,,2
ENSG00000006047,,WBGene00000473,FBgn0022959,ENSMUSG00000018554,,3
ENSG00000006062,,,,ENSMUSG00000020941,,1
ENSG00000006071,,,FBgn0028675,ENSMUSG00000040136,YHL035C,3
ENSG00000006116,,,FBgn0064123,ENSMUSG00000066189,,2
ENSG00000006118,,WBGene00022175,FBgn0262730,ENSMUSG00000024736,,3
ENSG00000006125,AT4G23460,WBGene00000160,FBgn0010380,ENSMUSG00000035152,YKL135C,5
ENSG00000006128,,,,ENSMUSG00000061762,,1
ENSG00000006194,,,,ENSMUSG00000022529,,1
ENSG00000006210,,,,ENSMUSG00000031778,,1
ENSG00000006282,,WBGene00015204,FBgn0033924,ENSMUSG00000020867,,3
ENSG00000006283,,WBGene00000367,FBgn0264386,ENSMUSG00000020866,,3
ENSG00000006327,,,,ENSMUSG00000023905,,1
ENSG00000006377,,WBGene00000463,FBgn0000157,ENSMUSG00000029754,,3
ENSG00000006432,,,FBgn0030018,ENSMUSG00000042724,,2
ENSG00000006451,,WBGene00021811,FBgn0015286,ENSMUSG00000008859,,3
ENSG00000006453,,,FBgn0052082,ENSMUSG00000038859,,2
ENSG00000006459,,WBGene00005013,,ENSMUSG00000042599,,2
ENSG00000006468,,,FBgn0039225,ENSMUSG00000004151,,2
ENSG00000006530,,WBGene00018674,FBgn0260750,ENSMUSG00000029916,,3
ENSG00000006534,,WBGene00000111,FBgn0010548,ENSMUSG00000024885,YMR110C,4
ENSG00000006555,,,,ENSMUSG00000034919,,1
ENSG00000006576,,,FBgn0028579,ENSMUSG00000039987,,2
ENSG00000006606,,,,ENSMUSG00000070464,,1
ENSG00000006607,,WBGene00001490,FBgn0265082,ENSMUSG00000034066,,3
ENSG00000006611,,,FBgn0029835,ENSMUSG00000030838,,2
ENSG00000006625,,WBGene00016629,FBgn0052196,ENSMUSG00000002797,,3
ENSG00000006634,,,FBgn0000307,ENSMUSG00000002297,YDR052C,3
ENSG00000006638,,,FBgn0036742,ENSMUSG00000034881,,2
ENSG00000006652,,WBGene00010232,FBgn0051694,ENSMUSG00000001627,,3
ENSG00000006659,,WBGene00007768,FBgn0031214,,,2
ENSG00000006695,,WBGene00012895,FBgn0032222,ENSMUSG00000042148,YPL172C,4
ENSG00000006704,,,,ENSMUSG00000023079,,1
ENSG00000006712,,WBGene00008338,FBgn0010750,ENSMUSG00000003437,YBR279W,4
ENSG00000006715,,WBGene00017974,FBgn0002566,ENSMUSG00000041236,YDR080W,4
ENSG00000006740,,WBGene00021324,FBgn0038747,ENSMUSG00000033389,,3
ENSG00000006744,,WBGene00001983,FBgn0028426,ENSMUSG00000020549,YKR079C,4
ENSG00000006747,AT4G30160,WBGene00010593,FBgn0010225,ENSMUSG00000002565,,4
ENSG00000006756,,WBGene00006309,,,,1
ENSG00000006757,,WBGene00008370,,,,1
ENSG00000006788,,WBGene00002348,FBgn0264695,ENSMUSG00000060180,YHR023W,4
ENSG00000006831,,WBGene00016610,FBgn0038984,ENSMUSG00000030168,YDR492W,4
ENSG00000006837,,,,ENSMUSG00000020389,,1
ENSG00000007001,,WBGene00022817,FBgn0034800,ENSMUSG00000026839,,3
ENSG00000007047,,WBGene00003916,FBgn0260934,ENSMUSG00000030397,,3
ENSG00000007062,,WBGene00008571,FBgn0026189,ENSMUSG00000029086,,3
ENSG00000007080,AT1G16210,WBGene00022268,FBgn0038675,ENSMUSG00000007721,,4
ENSG00000007129,,,,ENSMUSG00000078795,,1
ENSG00000007168,AT3G49660,WBGene00003047,FBgn0015754,ENSMUSG00000020745,YOR269W,5
ENSG00000007171,,,FBgn0011676,ENSMUSG00000020826,,2
ENSG00000007174,,,FBgn0013812,ENSMUSG00000056752,,2
ENSG00000007202,,WBGene00009285,FBgn0035420,ENSMUSG00000010277,YLR454W,4
ENSG00000007216,,WBGene00003517,FBgn0036816,ENSMUSG00000001095,YCR037C,4
ENSG00000007237,,,,ENSMUSG00000033066,YMR032W,2
ENSG00000007255,,WBGene00010699,FBgn0266722,ENSMUSG00000002043,YOR115C,4
ENSG00000007264,,WBGene00000812,FBgn0262081,ENSMUSG00000004933,,3
ENSG00000007306,,,,ENSMUSG00000074272,,1
ENSG00000007312,,,,ENSMUSG00000040592,,1
ENSG00000007314,,,FBgn0285944,ENSMUSG00000001027,YGR217W,3
ENSG00000007341,,WBGene00008686,FBgn0037026,ENSMUSG00000045576,,3
ENSG00000007350,,WBGene00008506,FBgn0037607,ENSMUSG00000031397,YBR117C,4
ENSG00000007372,,WBGene00006870,FBgn0019650,ENSMUSG00000027168,,3
ENSG00000007376,,,,ENSMUSG00000041199,,1
ENSG00000007384,,WBGene00004402,FBgn0041723,ENSMUSG00000020282,,3
ENSG00000007392,,WBGene00015207,FBgn0036734,ENSMUSG00000024188,YDL087C,4
ENSG00000007402,,WBGene00006772,FBgn0261999,ENSMUSG00000010066,,3
ENSG00000007516,,WBGene00018837,FBgn0035756,ENSMUSG00000047507,,3
ENSG00000007520,AT5G10070,WBGene00018679,FBgn0038313,ENSMUSG00000015126,YOR006C,5
ENSG00000007541,,WBGene00008504,FBgn0086448,ENSMUSG00000025728,YGR216C,4
ENSG00000007545,,WBGene00020111,FBgn0000376,ENSMUSG00000038002,,3
ENSG00000007866,,WBGene00001208,FBgn0003345,ENSMUSG00000002249,YBR083W,4
ENSG00000007908,,,FBgn0030617,ENSMUSG00000026582,,2
ENSG00000007923,,WBGene00001027,FBgn0033918,ENSMUSG00000039768,,3
ENSG00000007933,,WBGene00001476,,ENSMUSG00000026691,,2
ENSG00000007944,,,FBgn0260866,ENSMUSG00000038175,,2
ENSG00000007952,,,,ENSMUSG00000031257,,1
ENSG00000007968,,,FBgn0011766,ENSMUSG00000018983,,2
ENSG00000008018,,WBGene00003952,FBgn0002284,ENSMUSG00000014769,YBL041W,4
ENSG00000008056,,WBGene00004913,FBgn0004575,ENSMUSG00000037217,,3
ENSG00000008083,,,FBgn0036004,ENSMUSG00000038518,YMR176W,3
ENSG00000008086,,,,ENSMUSG00000031292,,1
ENSG00000008118,,WBGene00000553,FBgn0016126,ENSMUSG00000016179,YOL016C,4
ENSG00000008128,,WBGene00015203,FBgn0016696,ENSMUSG00000029062,,3
ENSG00000008130,AT3G21070,,FBgn0033853,ENSMUSG00000029063,YJR049C,4
ENSG00000008196,,WBGene00019424,FBgn0261953,ENSMUSG00000025927,,3
ENSG00000008197,,WBGene00019424,FBgn0261953,ENSMUSG00000042596,,3
ENSG00000008226,,,,ENSMUSG00000038060,,1
ENSG00000008256,AT2G29700,WBGene00001743,FBgn0086779,ENSMUSG00000018001,,4
ENSG00000008277,,WBGene00017865,FBgn0259110,ENSMUSG00000040537,,3
ENSG00000008282,,WBGene00004979,,ENSMUSG00000020570,,2
ENSG00000008283,,WBGene00010131,FBgn0035321,ENSMUSG00000019590,,3
ENSG00000008294,,WBGene00006755,FBgn0024187,ENSMUSG00000020859,,3
ENSG00000008300,,WBGene00001475,FBgn0024836,ENSMUSG00000023473,,3
ENSG00000008311,,WBGene00019819,FBgn0286198,ENSMUSG00000029695,YNR050C,4
ENSG00000008323,,,,ENSMUSG00000038167,,1
ENSG00000008324,,,,ENSMUSG00000032526,,1
ENSG00000008382,,,FBgn0032348,ENSMUSG00000003199,,2
ENSG00000008394,,,FBgn0025814,ENSMUSG00000008540,,2
ENSG00000008405,,,FBgn0016054,ENSMUSG00000020038,,2
ENSG00000008441,,WBGene00003592,FBgn0042696,ENSMUSG00000001911,,3
ENSG00000008513,,,,ENSMUSG00000013846,,1
ENSG00000008516,,WBGene00194737,FBgn0035049,ENSMUSG00000023903,,3
ENSG00000008710,,,,ENSMUSG00000032855,,1
ENSG00000008735,,,FBgn0040281,ENSMUSG00000022619,,2
ENSG00000008838,,,FBgn0035851,ENSMUSG00000017210,,2
ENSG00000008853,,,FBgn0036980,ENSMUSG00000022075,,2
ENSG00000008869,,WBGene00015743,FBgn0037541,ENSMUSG00000039414,YJL207C,4
ENSG00000008952,,WBGene00007683,FBgn0011584,ENSMUSG00000027706,YPL094C,4
ENSG00000008988,AT3G47370,WBGene00004489,FBgn0019936,ENSMUSG00000028234,YHL015W,5
ENSG00000009307,,,FBgn0263352,ENSMUSG00000068823,,2
ENSG00000009335,AT3G17205,WBGene00008429,FBgn0034989,ENSMUSG00000039000,YGL141W,5
ENSG00000009413,,WBGene00021344,FBgn0002891,ENSMUSG00000019841,YPL167C,4
ENSG00000009694,,WBGene00006498,FBgn0267001,ENSMUSG00000016150,,3
ENSG00000009709,,,FBgn0003145,ENSMUSG00000028736,,2
ENSG00000009724,,,,ENSMUSG00000028979,,1
ENSG00000009765,,WBGene00015334,FBgn0286980,ENSMUSG00000019762,,3
ENSG00000009780,,WBGene00019399,FBgn0035981,ENSMUSG00000028878,,3
ENSG00000009790,,WBGene00019766,FBgn0040011,ENSMUSG00000037318,,3
ENSG00000009830,,,FBgn0086368,ENSMUSG00000034126,YAL023C,3
ENSG00000009844,,,FBgn0035251,ENSMUSG00000019868,YLR181C,3
ENSG00000009950,,WBGene00003378,FBgn0032940,ENSMUSG00000005373,,3
ENSG00000009954,,,,ENSMUSG00000002748,,1
ENSG00000010017,,,FBgn0262114,ENSMUSG00000038546,YGL227W,3
ENSG00000010030,,,FBgn0000097,,,1
ENSG00000010072,,WBGene00011834,FBgn0267977,ENSMUSG00000031986,,3
ENSG00000010165,,WBGene00015282,FBgn0032873,ENSMUSG00000026694,,3
ENSG00000010219,,,FBgn0016930,ENSMUSG00000030345,,2
ENSG00000010244,,WBGene00007105,FBgn0032600,ENSMUSG00000017421,,3
ENSG00000010256,,WBGene00018963,FBgn0038271,ENSMUSG00000025651,YLR163C,4
ENSG00000010270,,WBGene00017826,FBgn0035028,ENSMUSG00000003062,,3
ENSG00000010278,,WBGene00006635,,ENSMUSG00000030342,,2
ENSG00000010282,,WBGene00013852,FBgn0024194,ENSMUSG00000032523,YGL084C,4
ENSG00000010292,,WBGene00001087,FBgn0039680,ENSMUSG00000038252,YLR272C,4
ENSG00000010295,,,,ENSMUSG00000038271,,1
ENSG00000010310,,,,ENSMUSG00000030406,,1
ENSG00000010318,,,FBgn0031091,ENSMUSG00000021902,,2
ENSG00000010319,,WBGene00004889,FBgn0011260,ENSMUSG00000021904,,3
ENSG00000010322,,WBGene00008750,FBgn0033996,ENSMUSG00000021910,,3
ENSG00000010327,,,,ENSMUSG00000042286,,1
ENSG00000010361,,,FBgn0001084,ENSMUSG00000011658,,2
ENSG00000010379,,WBGene00004910,,ENSMUSG00000030108,,2
ENSG00000010404,,,FBgn0035445,ENSMUSG00000035847,,2
ENSG00000010438,,,FBgn0051954,ENSMUSG00000054106,,2
ENSG00000010539,,WBGene00019011,,,,1
ENSG00000010610,,,,ENSMUSG00000023274,,1
ENSG00000010626,,,,ENSMUSG00000030125,,1
ENSG00000010671,,,FBgn0003502,ENSMUSG00000031264,,2
ENSG00000010704,,,,ENSMUSG00000006611,,1
ENSG00000010803,,,FBgn0003334,ENSMUSG00000000085,,2
ENSG00000010810,,WBGene00005077,FBgn0262733,ENSMUSG00000019843,,3
ENSG00000010818,,,FBgn0003396,ENSMUSG00000015501,,2
ENSG00000010932,,WBGene00001476,,ENSMUSG00000040181,,2
ENSG00000011007,,WBGene00010990,FBgn0039066,ENSMUSG00000028668,,3
ENSG00000011009,,WBGene00010564,FBgn0042138,ENSMUSG00000028670,YLR118C,4
ENSG00000011021,,,,ENSMUSG00000029016,,1
ENSG00000011028,,WBGene00015052,,ENSMUSG00000020695,,2
ENSG00000011052,,WBGene00009119,FBgn0000150,ENSMUSG00000091228,YKL067W,4
ENSG00000011083,,,FBgn0267326,ENSMUSG00000052026,,2
ENSG00000011105,,,FBgn0029837,ENSMUSG00000030352,,2
ENSG00000011114,,WBGene00016540,FBgn0030701,ENSMUSG00000041702,,3
ENSG00000011132,,WBGene00002999,FBgn0052677,ENSMUSG00000004931,,3
ENSG00000011143,,WBGene00020100,FBgn0030395,ENSMUSG00000034121,,3
ENSG00000011198,,WBGene00016506,FBgn0033226,ENSMUSG00000032540,YDR125C,4
ENSG00000011201,,WBGene00002181,FBgn0039155,,,2
ENSG00000011243,,,,ENSMUSG00000002625,,1
ENSG00000011258,,WBGene00021661,FBgn0032475,ENSMUSG00000059474,,3
ENSG00000011260,,WBGene00015104,FBgn0262560,ENSMUSG00000054079,YJL069C,4
ENSG00000011275,,,,ENSMUSG00000045078,,1
ENSG00000011295,,WBGene00013217,FBgn0032744,ENSMUSG00000042298,,3
ENSG00000011304,,WBGene00004207,FBgn0011224,ENSMUSG00000006498,,3
ENSG00000011332,,WBGene00016200,FBgn0033015,ENSMUSG00000030584,,3
ENSG00000011347,,WBGene00004925,FBgn0039900,ENSMUSG00000024743,,3
ENSG00000011376,,WBGene00003074,FBgn0027085,ENSMUSG00000035202,YLR382C,4
ENSG00000011405,,WBGene00009552,FBgn0015278,ENSMUSG00000030660,,3
ENSG00000011422,,,,ENSMUSG00000046223,,1
ENSG00000011426,,WBGene00013038,FBgn0261385,ENSMUSG00000036777,,3
ENSG00000011451,,,,ENSMUSG00000024050,,1
ENSG00000011454,,WBGene00018075,FBgn0035879,ENSMUSG00000035437,YPL249C,4
ENSG00000011465,,,,ENSMUSG00000019929,,1
ENSG00000011478,,WBGene00010418,FBgn0036999,ENSMUSG00000030407,YFR018C,4
ENSG00000011485,AT2G42810,WBGene00012665,FBgn0005777,ENSMUSG00000003099,YGR123C,5
ENSG00000011523,,,,ENSMUSG00000044066,,1
ENSG00000011566,,WBGene00022603,FBgn0263395,ENSMUSG00000024242,,3
ENSG00000011590,,,,ENSMUSG00000006310,,1
ENSG00000011600,,,,ENSMUSG00000030579,,1
ENSG00000011638,,,,ENSMUSG00000030917,,1
ENSG00000011677,,WBGene00008551,FBgn0001134,ENSMUSG00000031343,,3
ENSG00000012048,,,,ENSMUSG00000017146,,1
ENSG00000012061,AT3G05210,WBGene00008665,FBgn0028434,ENSMUSG00000003549,YML095C,5
ENSG00000012124,,,,ENSMUSG00000030577,,1
ENSG00000012171,,WBGene00003111,FBgn0011260,ENSMUSG00000057969,,3
ENSG00000012174,,WBGene00013225,FBgn0033656,ENSMUSG00000046873,,3
ENSG00000012211,,WBGene00022727,FBgn0263934,ENSMUSG00000031145,,3
ENSG00000012223,,,FBgn0022355,ENSMUSG00000032496,,2
ENSG00000012232,,WBGene00004361,FBgn0027535,ENSMUSG00000021978,,3
ENSG00000012504,,WBGene00003708,FBgn0000546,ENSMUSG00000047638,,3
ENSG00000012660,,,,ENSMUSG00000032349,YCR034W,2
ENSG00000012779,,,,ENSMUSG00000025701,,1
ENSG00000012817,,WBGene00004319,FBgn0031759,ENSMUSG00000056673,YJR119C,4
ENSG00000012822,,,,ENSMUSG00000023055,,1
ENSG00000012963,,WBGene00011912,FBgn0032635,ENSMUSG00000041712,,3
ENSG00000012983,,WBGene00022603,FBgn0263395,ENSMUSG00000034761,,3
ENSG00000013016,,WBGene00004373,FBgn0016693,ENSMUSG00000024065,,3
ENSG00000013275,,WBGene00004503,FBgn0028686,ENSMUSG00000030603,YDR394W,4
ENSG00000013288,,WBGene00018877,FBgn0032253,ENSMUSG00000029119,,3
ENSG00000013293,,,FBgn0031064,ENSMUSG00000069072,YCL025C,3
ENSG00000013297,,,,ENSMUSG00000037625,,1
ENSG00000013306,,WBGene00007622,FBgn0037512,ENSMUSG00000018677,YGR257C,4
ENSG00000013364,,,,ENSMUSG00000030681,,1
ENSG00000013374,,,FBgn0031161,ENSMUSG00000028954,,2
ENSG00000013375,,WBGene00009006,FBgn0036298,ENSMUSG00000056131,YEL058W,4
ENSG00000013392,,,FBgn0050338,ENSMUSG00000032417,,2
ENSG00000013441,,WBGene00185089,FBgn0265998,ENSMUSG00000026034,YLL019C,4
ENSG00000013503,,WBGene00017300,FBgn0004463,ENSMUSG00000034453,YOR207C,4
ENSG00000013523,,WBGene00020955,FBgn0016762,ENSMUSG00000021257,,3
ENSG00000013561,,WBGene00018966,,ENSMUSG00000060450,YML068W,3
ENSG00000013563,,,,ENSMUSG00000019088,,1
ENSG00000013573,,WBGene00010839,FBgn0026876,ENSMUSG00000035842,YPL008W,4
ENSG00000013583,,,,ENSMUSG00000042770,,1
ENSG00000013588,,,FBgn0000206,ENSMUSG00000046733,,2
ENSG00000013619,,,,ENSMUSG00000059401,,1
ENSG00000013725,,,,ENSMUSG00000024670,,1
ENSG00000013810,,,FBgn0026620,ENSMUSG00000037313,,2
ENSG00000014123,,WBGene00015555,FBgn0037467,ENSMUSG00000040359,,3
ENSG00000014138,,WBGene00001002,FBgn0005696,ENSMUSG00000024833,YBL035C,4
ENSG00000014164,,,FBgn0035900,ENSMUSG00000075600,,2
ENSG00000014216,,WBGene00000542,FBgn0012051,ENSMUSG00000024942,,3
ENSG00000014257,,WBGene00011879,FBgn0000032,ENSMUSG00000032561,,3
ENSG00000014641,,WBGene00018491,FBgn0262782,ENSMUSG00000020321,,3
ENSG00000014824,AT1G51610,WBGene00022174,FBgn0033762,ENSMUSG00000029221,,4
ENSG00000014914,,WBGene00021683,FBgn0030582,ENSMUSG00000045934,,3
ENSG00000014919,AT5G56090,WBGene00011526,FBgn0034938,ENSMUSG00000040018,YER141W,5
ENSG00000015133,,WBGene00013082,FBgn0283724,ENSMUSG00000021182,,3
ENSG00000015153,,WBGene00016937,FBgn0034763,ENSMUSG00000022634,,3
ENSG00000015171,,WBGene00000262,FBgn0033752,ENSMUSG00000021156,,3
ENSG00000015285,,WBGene00015100,FBgn0024273,ENSMUSG00000031165,YOR181W,4
ENSG00000015413,,,FBgn0039420,ENSMUSG00000019278,,2
ENSG00000015475,,,,ENSMUSG00000004446,,1
ENSG00000015479,,,,ENSMUSG00000037236,,1
ENSG00000015520,,WBGene00003561,FBgn0024320,ENSMUSG00000020447,YPL006W,4
ENSG00000015532,,WBGene00005024,FBgn0015360,ENSMUSG00000020868,,3
ENSG00000015568,,WBGene00003795,FBgn0039302,ENSMUSG00000003226,,3
ENSG00000015592,,,FBgn0266521,ENSMUSG00000022044,,2
ENSG00000015676,,,FBgn0051251,ENSMUSG00000053838,,2
ENSG00000016082,,WBGene00002989,FBgn0003896,ENSMUSG00000042258,,3
ENSG00000016391,,WBGene00007917,FBgn0030586,ENSMUSG00000015970,,3
ENSG00000016402,,,,ENSMUSG00000020007,,1
ENSG00000016490,,,,ENSMUSG00000028255,,1
ENSG00000016602,,,,ENSMUSG00000068547,,1
ENSG00000016864,AT1G13250,,,ENSMUSG00000021916,,2
ENSG00000017260,,WBGene00004063,FBgn0052451,ENSMUSG00000032570,YGL167C,4
ENSG00000017427,,,,ENSMUSG00000020053,,1
ENSG00000017483,,,,ENSMUSG00000031170,,1
